tenure,monthly_charges,total_charges,contract_months,support_calls,paperless_billing,churn
1,79.35,79.35,1,5,1,1
3,89.10,267.30,1,4,1,1
5,99.65,498.25,1,6,1,1
8,84.20,673.60,1,3,1,1
12,75.50,906.00,1,4,0,1
18,92.00,1656.00,1,5,1,1
24,68.90,1653.60,12,2,1,0
30,59.40,1782.00,12,1,0,0
36,64.30,2314.80,12,1,0,0
42,55.10,2314.20,12,0,0,0
48,70.00,3360.00,24,1,1,0
54,62.75,3388.50,24,0,0,0
60,58.20,3492.00,24,0,0,0
6,95.45,572.70,1,5,1,1
9,88.80,799.20,1,4,1,1
15,73.25,1098.75,1,3,1,1
28,61.60,1724.80,12,1,0,0
33,66.45,2192.85,12,2,0,0
45,57.75,2598.75,24,0,0,0
64,52.30,3347.20,24,0,0,0
